trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
2151661188,29:35:00,29:40:00,MAA,4,0,0,632
2151661188,30:10:00,30:20:00,XRF,5,0,0,657
2151661188,32:30:00,32:35:00,XCN,6,0,0,827
2151661188,33:00:00,33:00:00,NCE,7,0,0,855
5947876445,21:20:00,21:20:00,ZFQ,1,0,0,0
5947876445,24:00:00,24:12:00,XTS,2,0,0,240
5947876445,27:40:00,27:45:00,XMT,3,0,0,477
5947876445,29:35:00,29:40:00,MAA,4,0,0,632
5947876445,30:10:00,30:20:00,XRF,5,0,0,657
5947876445,32:30:00,32:35:00,XCN,6,0,0,827
5947876445,33:00:00,33:00:00,NCE,7,0,0,855
0126684435,44:20:00,44:20:00,ZFQ,1,0,0,0
0126684435,47:00:00,47:12:00,XTS,2,0,0,240
0126684435,50:40:00,50:45:00,XMT,3,0,0,477
0126684435,52:35:00,52:40:00,MAA,4,0,0,632
0126684435,53:10:00,53:20:00,XRF,5,0,0,657
0126684435,55:30:00,55:35:00,XCN,6,0,0,827
0126684435,56:00:00,56:00:00,NCE,7,0,0,855
8153892308,14:55:00,14:55:00,XTS,1,0,0,0
8153892308,17:40:00,17:45:00,XMT,2,0,0,237
8153892308,20:05:00,20:15:00,XRF,3,0,0,406
8153892308,22:30:00,22:35:00,ANB,4,0,0,582
8153892308,22:55:00,22:55:00,NCE,5,0,0,602
1180236654,22:45:00,22:45:00,XPB,1,0,0,0
1180236654,29:00:00,29:05:00,XBE,2,0,0,476
1180236654,30:50:00,30:55:00,XMW,3,0,0,633
1180236654,32:00:00,32:15:00,XTS,4,0,0,682
1180236654,33:40:00,33:45:00,STG,5,0,0,779
1180236654,34:15:00,34:20:00,XLZ,6,0,0,813
1180236654,35:10:00,35:10:00,XLU,7,0,0,871
8908868368,22:45:00,22:45:00,XPB,1,0,0,0
8908868368,29:00:00,29:05:00,XBE,2,0,0,476
8908868368,30:50:00,30:55:00,XMW,3,0,0,633
8908868368,32:00:00,32:15:00,XTS,4,0,0,682
8908868368,33:40:00,33:45:00,STG,5,0,0,779
8908868368,34:15:00,34:20:00,XLZ,6,0,0,813
8908868368,35:10:00,35:10:00,XLU,7,0,0,871
0620730944,22:45:00,22:45:00,XPB,1,0,0,0
0620730944,29:00:00,29:05:00,XBE,2,0,0,476
0620730944,30:50:00,30:55:00,XMW,3,0,0,633
0620730944,32:00:00,32:15:00,XTS,4,0,0,682
0620730944,33:40:00,33:45:00,STG,5,0,0,779
0620730944,34:15:00,34:20:00,XLZ,6,0,0,813
0620730944,35:10:00,35:10:00,XLU,7,0,0,871
8178883599,22:45:00,22:45:00,XPB,1,0,0,0
8178883599,29:00:00,29:05:00,XBE,2,0,0,476
8178883599,30:50:00,30:55:00,XMW,3,0,0,633
8178883599,32:00:00,32:15:00,XTS,4,0,0,682
8178883599,33:40:00,33:45:00,STG,5,0,0,779
8178883599,34:15:00,34:20:00,XLZ,6,0,0,813
8178883599,35:10:00,35:10:00,XLU,7,0,0,871
2286774461,22:45:00,22:45:00,XPB,1,0,0,0
2286774461,29:00:00,29:05:00,XBE,2,0,0,476
2286774461,30:50:00,30:55:00,XMW,3,0,0,633
2286774461,32:00:00,32:15:00,XTS,4,0,0,682
2286774461,33:40:00,33:45:00,STG,5,0,0,779
2286774461,34:15:00,34:20:00,XLZ,6,0,0,813
2286774461,35:10:00,35:10:00,XLU,7,0,0,871
